kb,date,url,slug,uuid
"4043461","2017-10-01","https://support.microsoft.com/help/4043461","october-2017-updates-for-microsoft-office-75b17cc8-4893-31da-2f01-d785240cacc4","75b17cc8-4893-31da-2f01-d785240cacc4"
"4043961","2017-10-17","https://support.microsoft.com/help/4043961","october-17-2017-kb4043961-os-build-16299-19-dc880721-18fd-f44f-19b7-dcd19de03981","dc880721-18fd-f44f-19b7-dcd19de03981"
"4048953","2017-11-14","https://support.microsoft.com/help/4048953","november-14-2017-kb4048953-os-build-14393-1884-7c323ba8-6a63-fcc5-48ae-407a174656f3","7c323ba8-6a63-fcc5-48ae-407a174656f3"
"4048954","2017-11-14","https://support.microsoft.com/help/4048954","november-14-2017-kb4048954-os-build-15063-726-and-15063-728-b34cb5c2-76f1-1a24-7174-adfe35ce8dbd","b34cb5c2-76f1-1a24-7174-adfe35ce8dbd"
"4048955","2017-11-14","https://support.microsoft.com/help/4048955","november-14-2017-kb4048955-os-build-16299-64-46cde8e8-d1ef-525b-c4d6-905490e00765","46cde8e8-d1ef-525b-c4d6-905490e00765"
"4048956","2017-11-14","https://support.microsoft.com/help/4048956","november-14-2017-kb4048956-os-build-10240-17673-dc699a29-eb78-c0f2-1487-929694b12d57","dc699a29-eb78-c0f2-1487-929694b12d57"
"4049370","2017-11-02","https://support.microsoft.com/help/4049370","november-2-2017-kb4049370-os-build-15063-675-6659f3df-f0ac-e0f4-81a4-19f6ffcd051c","6659f3df-f0ac-e0f4-81a4-19f6ffcd051c"
"4051033","2017-11-27","https://support.microsoft.com/help/4051033","november-27-2017-kb4051033-os-build-14393-1914-447b6b88-e75d-0a24-9ab9-5dcda687aaf4","447b6b88-e75d-0a24-9ab9-5dcda687aaf4"
"4051890","2017-11-01","https://support.microsoft.com/help/4051890","november-2017-updates-for-microsoft-office-e61d9ede-8ba3-aa75-9887-15fb20f847c7","e61d9ede-8ba3-aa75-9887-15fb20f847c7"
"4051963","2017-11-30","https://support.microsoft.com/help/4051963","november-30-2017-kb4051963-os-build-16299-98-0ec86b98-e045-458f-f014-efd797959dc1","0ec86b98-e045-458f-f014-efd797959dc1"
"4052231","2017-11-02","https://support.microsoft.com/help/4052231","november-2-2017-kb4052231-os-build-14393-1797-55ab0db0-e550-7bb5-b71a-19c06ad4e271","55ab0db0-e550-7bb5-b71a-19c06ad4e271"
"4053579","2017-12-12","https://support.microsoft.com/help/4053579","december-12-2017-kb4053579-os-build-14393-1944-e129ede5-2f0e-0015-9f09-c0f453de96d4","e129ede5-2f0e-0015-9f09-c0f453de96d4"
"4053580","2017-12-12","https://support.microsoft.com/help/4053580","december-12-2017-kb4053580-os-build-15063-786-8fa6d539-a7e0-34d9-529d-66f9576ed05b","8fa6d539-a7e0-34d9-529d-66f9576ed05b"
"4053581","2017-12-12","https://support.microsoft.com/help/4053581","december-12-2017-kb4053581-os-build-10240-17709-e5635b1a-a83f-6b9b-39be-ce1f7b4a29ef","e5635b1a-a83f-6b9b-39be-ce1f7b4a29ef"
"4054517","2017-12-12","https://support.microsoft.com/help/4054517","december-12-2017-kb4054517-os-build-16299-125-b34efda1-4407-223d-e8ac-8c7ec2f6f390","b34efda1-4407-223d-e8ac-8c7ec2f6f390"
"4055254","2017-11-22","https://support.microsoft.com/help/4055254","november-22-2017-kb4055254-os-build-15063-729-5bb0c3ed-1bca-b6ce-5598-24dd043e3ff4","5bb0c3ed-1bca-b6ce-5598-24dd043e3ff4"
"4055454","2017-12-01","https://support.microsoft.com/help/4055454","december-2017-updates-for-microsoft-office-59206300-a6ea-d786-30f6-63e1f5a33dc4","59206300-a6ea-d786-30f6-63e1f5a33dc4"
"4056890","2018-01-03","https://support.microsoft.com/help/4056890","january-3-2018-kb4056890-os-build-14393-2007-34439365-b8fb-8056-a882-2a06c1137291","34439365-b8fb-8056-a882-2a06c1137291"
"4056891","2018-01-03","https://support.microsoft.com/help/4056891","january-3-2018-kb4056891-os-build-15063-850-7c7dd783-6ea3-4019-9da2-3e6b44711887","7c7dd783-6ea3-4019-9da2-3e6b44711887"
"4056892","2018-01-03","https://support.microsoft.com/help/4056892","january-3-2018-kb4056892-os-build-16299-192-c0ce8445-3adc-7a71-2fbd-9e93ed00b04e","c0ce8445-3adc-7a71-2fbd-9e93ed00b04e"
"4056893","2018-01-03","https://support.microsoft.com/help/4056893","january-3-2018-kb4056893-os-build-10240-17738-a3f6e32a-eebb-a7e9-76c7-1c66459645e0","a3f6e32a-eebb-a7e9-76c7-1c66459645e0"
"4057113","2018-01-06","https://support.microsoft.com/help/4057113","description-of-the-security-update-for-sql-server-2008-r2-sp3-gdr-january-6-2018-f8290bc2-5abe-934c-4672-c454db0b73f6","f8290bc2-5abe-934c-4672-c454db0b73f6"
"4057114","2018-01-06","https://support.microsoft.com/help/4057114","description-of-the-security-update-for-sql-server-2008-sp4-gdr-january-6-2018-32b923c1-7af9-5c4b-5b3d-3522cab972fe","32b923c1-7af9-5c4b-5b3d-3522cab972fe"
